FECDIA,CODAGENTEVIABCP,CONSULTA DE 3 ULTIMAS OPE PROCESADOS,CONSULTA DE MOVIMIENTOS PROCESADOS,CONSULTA DE MOVIMIENTOS RECHAZADOS,CONSULTA DE SALDOS PROCESADOS,CONSULTA DE SALDOS RECHAZADOS,DEPOSITOS PROCESADOS,DEPOSITOS RECHAZADOS,DESCARGO DE GIROS PROCESADOS,DESCARGO DE GIROS RECHAZADOS,EMISION DE GIRO PROCESADOS,EMISION DE GIRO RECHAZADOS,REPORTE CIERRE PROCESADOS,REPORTE CIERRE RECHAZADOS,RETIROS PROCESADOS,RETIROS RECHAZADOS
2020-10-01,H988571,0,5,0,2,0,1,0,0,0,0,0,0,0,3,0
2020-10-01,H988573,0,8,0,32,1,98,0,0,0,0,0,4,0,141,11
2020-10-01,H988575,0,3,1,11,0,19,0,0,0,0,0,1,0,15,3
2020-10-01,H988610,0,13,0,7,0,57,0,0,0,0,0,2,0,61,5
2020-10-01,H988628,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2020-10-01,H988630,0,7,2,2,0,37,0,0,0,0,0,3,4,48,6
2020-10-01,H988644,0,16,0,5,0,28,1,0,0,0,0,1,0,37,6
2020-10-01,H988650,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
2020-10-02,H988571,0,2,0,1,0,7,0,0,0,0,0,1,0,8,0
2020-10-02,H988575,0,9,1,13,0,38,0,0,0,0,0,1,0,46,4
2020-10-02,H988610,0,19,2,7,1,64,0,0,0,0,0,1,0,59,2
2020-10-02,H988630,0,3,1,0,1,25,0,0,0,0,0,2,0,22,0
2020-10-02,H988644,0,7,3,1,0,12,0,0,0,0,0,1,0,12,4
2020-10-03,H988571,0,2,0,1,0,2,1,0,0,0,0,1,0,2,1
2020-10-03,H988575,0,9,1,13,2,39,1,0,0,0,0,1,0,37,4
2020-10-03,H988610,0,24,1,10,1,86,0,0,0,0,0,3,0,94,8
2020-10-03,H988630,0,2,0,0,0,8,0,0,0,0,0,1,0,7,0
2020-10-03,H988644,0,2,0,10,0,7,0,0,0,0,0,1,0,28,5
2020-10-04,H988571,0,0,0,1,0,0,1,0,0,0,0,1,0,4,0
2020-10-04,H988575,0,5,0,4,0,24,0,0,0,0,0,1,0,39,2
2020-10-04,H988610,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-05,H988571,0,4,0,1,0,5,0,0,0,0,0,1,0,11,0
2020-10-05,H988575,0,2,0,4,0,19,2,0,0,0,0,1,0,14,0
2020-10-05,H988630,0,1,0,0,0,6,0,0,0,0,0,2,0,7,1
2020-10-05,H988644,0,7,0,1,1,30,0,0,0,0,0,1,0,12,5
2020-10-06,H988571,0,8,0,1,0,1,0,0,0,0,0,1,0,4,0
2020-10-06,H988575,0,12,0,4,0,2,2,0,0,0,0,1,0,4,0
2020-10-06,H988630,0,2,1,0,0,2,0,0,0,0,0,3,6,2,0
2020-10-06,H988644,0,0,0,0,0,4,1,0,0,0,0,1,0,1,1
2020-10-07,H988571,0,7,1,1,0,17,0,0,0,0,0,1,0,17,1
2020-10-07,H988575,0,5,0,5,0,31,1,0,0,0,0,1,0,31,3
2020-10-07,H988630,0,3,6,2,0,26,0,0,0,0,0,5,2,23,2
2020-10-07,H988644,0,9,0,1,0,13,0,0,0,0,0,10,0,15,2
2020-10-08,H988571,0,6,0,4,0,12,1,0,0,0,0,1,0,20,4
2020-10-08,H988575,0,1,0,5,0,7,0,0,0,0,0,1,0,14,0
2020-10-08,H988628,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-08,H988630,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0
2020-10-08,H988644,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0
2020-10-08,H988668,0,0,0,0,0,6,0,0,0,0,0,2,0,3,0
2020-10-09,H988571,0,2,0,3,0,5,0,0,0,0,0,1,0,11,1
2020-10-09,H988575,0,4,2,10,0,24,1,0,0,0,0,1,0,24,1
2020-10-09,H988644,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
2020-10-10,H988571,0,5,0,2,0,15,1,0,0,0,0,1,0,21,5
2020-10-10,H988575,0,13,0,5,0,28,1,0,0,0,0,1,0,33,3
2020-10-10,H988668,0,1,0,4,1,2,0,0,0,0,0,6,0,6,2
2020-10-10,H988670,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-11,H988571,0,1,0,0,0,15,0,0,0,0,0,1,0,28,3
2020-10-11,H988575,0,3,0,9,0,18,0,0,0,0,0,1,0,40,0
2020-10-12,H988571,0,5,1,1,0,16,0,0,0,0,0,1,0,23,0
2020-10-12,H988575,0,4,0,8,0,45,0,0,0,0,0,1,0,23,1
2020-10-12,H988644,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
2020-10-13,H988571,0,3,0,1,0,14,1,0,0,0,0,1,0,15,1
2020-10-13,H988575,0,9,2,5,0,25,3,0,0,0,0,1,0,21,0
2020-10-14,H988571,0,4,1,0,0,12,1,0,0,0,0,1,0,27,2
2020-10-14,H988575,0,4,0,9,2,18,0,0,0,0,0,1,0,25,2
2020-10-14,H988668,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2020-10-15,H988571,0,2,0,4,0,13,0,0,0,0,0,1,0,23,2
2020-10-15,H988607,0,1,0,5,4,16,1,0,0,0,0,2,0,17,3
2020-10-15,H988668,0,2,0,5,0,11,0,0,0,0,0,5,0,7,1
2020-10-16,H988571,0,5,0,4,0,9,0,0,0,0,0,1,0,12,2
2020-10-16,H988578,0,4,0,2,0,6,3,0,0,0,0,2,0,8,0
2020-10-16,H988588,0,3,0,1,0,1,0,0,0,0,0,1,0,3,0
2020-10-16,H988600,0,0,0,4,0,11,0,0,0,0,0,2,0,17,1
